id,Restaurant Name,Category,Price Tier,Neighborhood,Opening Hours,Average Rating (out of 5 stars),Good for kids
363,fblincowa2,Korean,Medium,Tompkinsville,9:00 - 20:00,5,False
364,ogeddesa3,Indian,Expensive,Great Kills,9:00 - 20:00,1,False
365,sgriswaitea4,Thai,Cheap,Astoria,9:00 - 20:00,4,False
366,cparloura5,Thai,Cheap,Chelsea,9:00 - 20:00,5,False
367,oromagosaa6,American,Expensive,Great Kills,9:00 - 20:00,1,False
368,dbiskupeka7,Italian,Medium,Jackson Heights,9:00 - 20:00,1,False
369,blegranda8,Indian,Medium,Pelham Bay,9:00 - 20:00,1,True
370,ctullya9,Fast Food,Medium,DUMBO,9:00 - 20:00,2,False
371,rpridgeonaa,Pizza,Medium,Harlem,9:00 - 20:00,2,False
372,sdowsingab,Italian,Medium,Flushing,9:00 - 20:00,1,True
373,kexleyac,Italian,Medium,Annadale,9:00 - 20:00,2,False
374,sturevillead,Pizza,Expensive,Fordham,9:00 - 20:00,3,True
375,nemneyae,Korean,Cheap,Bayside,9:00 - 20:00,1,False
376,ggallemoreaf,Mexican,Cheap,DUMBO,9:00 - 20:00,2,False
377,wsanperag,Korean,Cheap,Flushing,9:00 - 20:00,3,True
378,binksterah,Thai,Cheap,Brooklyn Heights,9:00 - 20:00,1,False
379,flasseyai,Indian,Medium,Upper West Side,9:00 - 20:00,4,True
380,dlambartonaj,Indian,Expensive,DUMBO,9:00 - 20:00,1,False
381,agrimsdykeak,Chinese,Medium,Soundview,9:00 - 20:00,4,True
382,hllewellinal,Burger,Medium,Morris Park,9:00 - 20:00,1,True
383,bwakesam,Mexican,Medium,Woodside,9:00 - 20:00,5,True
384,dkenanan,Korean,Expensive,Forest Hills,9:00 - 20:00,1,False
385,bluciusao,Korean,Medium,Jackson Heights,9:00 - 20:00,2,True
386,bgruszkaap,Indian,Cheap,New Brighton,9:00 - 20:00,5,False
387,epeeleaq,American,Expensive,Washington Heights,9:00 - 20:00,1,False
388,nlaffertyar,Fast Food,Expensive,Washington Heights,9:00 - 20:00,1,False
389,sthirlwellas,Japanese,Cheap,Flushing,9:00 - 20:00,3,False
390,hupexat,Burger,Medium,Crown Heights,9:00 - 20:00,5,True
391,mcroslandau,Korean,Expensive,Tottenville,9:00 - 20:00,3,True
392,erowbreyav,Korean,Expensive,Tribeca,9:00 - 20:00,2,True
393,ebooreraw,Mexican,Expensive,Tottenville,9:00 - 20:00,3,False
394,ccoardax,American,Expensive,Prospect Heights,9:00 - 20:00,5,True
395,klockhartay,Indian,Expensive,Hunts Point,9:00 - 20:00,3,False
396,jshortenaz,Chinese,Cheap,Astoria,9:00 - 20:00,4,True
397,crenodenb0,Japanese,Expensive,SoHo,9:00 - 20:00,2,True
398,ccubbinib1,Chinese,Cheap,Red Hook,9:00 - 20:00,5,True
399,tclistb2,Mexican,Medium,Pelham Bay,9:00 - 20:00,4,True
400,svolonteb3,Korean,Cheap,Prospect Heights,9:00 - 20:00,4,True
401,tcheasmanb4,Fast Food,Expensive,Jamaica,9:00 - 20:00,5,False
402,cdionisettib5,Japanese,Medium,Bedford-Stuyvesant,9:00 - 20:00,4,True
403,seckleyb6,American,Cheap,Mott Haven,9:00 - 20:00,2,True
404,kroakesb7,Pizza,Cheap,Upper East Side,9:00 - 20:00,2,False
405,lcatleyb8,Korean,Medium,Greenwich Village,9:00 - 20:00,5,False
406,cbarenskyb9,Burger,Medium,Jackson Heights,9:00 - 20:00,5,False
407,dthroughtonba,Fast Food,Expensive,Astoria,9:00 - 20:00,5,False
408,lnouchbb,Japanese,Expensive,Tribeca,9:00 - 20:00,3,False
409,cslimmonbc,Korean,Expensive,Chelsea,9:00 - 20:00,1,True
410,fbuxseybd,Indian,Cheap,Belmont,9:00 - 20:00,2,True
411,kgappbe,American,Expensive,Long Island City,9:00 - 20:00,1,True
412,kbaggbf,Thai,Cheap,Lower East Side,9:00 - 20:00,3,True
413,tpurchesbg,Japanese,Cheap,Tompkinsville,9:00 - 20:00,4,True
414,cyosselevitchbh,Indian,Medium,Hunts Point,9:00 - 20:00,3,False
415,cheninghembi,Fast Food,Cheap,Rego Park,9:00 - 20:00,3,True
416,cericksonbj,Korean,Medium,Park Slope,9:00 - 20:00,4,True
417,cmcgeebk,French,Medium,Jackson Heights,9:00 - 20:00,4,True
418,aromainebl,American,Cheap,SoHo,9:00 - 20:00,4,False
419,zlemarbm,Burger,Medium,Mott Haven,9:00 - 20:00,3,False
420,ngelderdbn,Japanese,Cheap,Throgs Neck,9:00 - 20:00,5,True
421,ahelixbo,Japanese,Medium,Harlem,9:00 - 20:00,4,True
422,ecomibp,Burger,Expensive,Tribeca,9:00 - 20:00,1,False
423,nmalanbq,Chinese,Expensive,DUMBO,9:00 - 20:00,3,False
424,lveneurbr,Japanese,Medium,Woodside,9:00 - 20:00,4,True
425,fdormanbs,Burger,Medium,Kingsbridge,9:00 - 20:00,2,True
426,alumberbt,Indian,Expensive,DUMBO,9:00 - 20:00,3,False
427,cswyrebu,Mexican,Medium,Tribeca,9:00 - 20:00,1,False
428,rfingletonbv,Pizza,Expensive,Throgs Neck,9:00 - 20:00,2,True
429,wcattbw,Burger,Expensive,Tottenville,9:00 - 20:00,3,False
430,stomovicbx,Italian,Cheap,Tompkinsville,9:00 - 20:00,5,True
431,lmackinderby,Korean,Cheap,Upper East Side,9:00 - 20:00,3,True
432,ostonebz,American,Medium,Midtown,9:00 - 20:00,1,False
433,ptrevenuc0,Fast Food,Expensive,Tompkinsville,9:00 - 20:00,2,True
434,cromac1,Mexican,Cheap,Westerleigh,9:00 - 20:00,2,True
435,wkinnierc2,Thai,Expensive,Greenwich Village,9:00 - 20:00,5,False
436,ftripec3,Japanese,Expensive,SoHo,9:00 - 20:00,2,True
437,rdechellec4,Burger,Medium,New Brighton,9:00 - 20:00,4,True
438,mmortellc5,Fast Food,Medium,Westerleigh,9:00 - 20:00,3,False
439,brickardc6,American,Cheap,Stapleton,9:00 - 20:00,3,True
440,gbodicamc7,French,Medium,Hunts Point,9:00 - 20:00,1,False
441,cmcilhargac8,Japanese,Cheap,Greenwich Village,9:00 - 20:00,5,False
442,njoirec9,American,Expensive,Great Kills,9:00 - 20:00,1,True
443,cburdinca,Korean,Expensive,Throgs Neck,9:00 - 20:00,2,False
444,nellsburycb,Italian,Expensive,Tribeca,9:00 - 20:00,2,False
445,urawstornecc,French,Medium,Great Kills,9:00 - 20:00,2,True
446,tklaffscd,Indian,Cheap,Sunnyside,9:00 - 20:00,3,False
447,sswinyardce,Italian,Expensive,Long Island City,9:00 - 20:00,4,True
448,mreddlecf,Thai,Expensive,Long Island City,9:00 - 20:00,5,True
449,wvinsoncg,Thai,Cheap,Flushing,9:00 - 20:00,2,True
450,mjoshamch,French,Expensive,Greenpoint,9:00 - 20:00,1,False
451,rrieplci,Burger,Medium,Annadale,9:00 - 20:00,2,False
452,vdepaolicj,Pizza,Medium,Bushwick,9:00 - 20:00,1,True
453,eprovostck,Korean,Medium,Park Slope,9:00 - 20:00,2,False
454,hbadrockcl,Mexican,Cheap,Morris Park,9:00 - 20:00,3,True
455,mfaierscm,French,Expensive,New Brighton,9:00 - 20:00,5,False
456,deggarcn,Chinese,Medium,Jamaica,9:00 - 20:00,4,False
457,ecottaco,French,Expensive,Flushing,9:00 - 20:00,3,True
458,llowingcp,Indian,Medium,Brooklyn Heights,9:00 - 20:00,1,False
459,jmccoughancq,French,Medium,DUMBO,9:00 - 20:00,2,False
460,alevenecr,Korean,Cheap,Brooklyn Heights,9:00 - 20:00,3,False
461,ogierhardcs,American,Cheap,Jackson Heights,9:00 - 20:00,3,False
462,lsokillct,Indian,Cheap,Grasmere,9:00 - 20:00,2,True
463,ghugonincu,Italian,Expensive,New Brighton,9:00 - 20:00,5,True
464,omerrycv,Burger,Expensive,Grasmere,9:00 - 20:00,4,False
465,pellardcw,Japanese,Medium,Woodside,9:00 - 20:00,2,False
466,pdurandcx,Pizza,Expensive,Upper West Side,9:00 - 20:00,5,False
467,iluxency,Italian,Medium,Bushwick,9:00 - 20:00,5,False
468,sbettlescz,Burger,Cheap,Flushing,9:00 - 20:00,5,False
469,rhounsomd0,American,Cheap,Pelham Bay,9:00 - 20:00,3,True
470,acowoped1,Korean,Cheap,Upper West Side,9:00 - 20:00,5,True
471,btunneyd2,Indian,Medium,Morris Park,9:00 - 20:00,4,False
472,mcoultassd3,Thai,Expensive,Park Slope,9:00 - 20:00,3,True
473,vbeardd4,Italian,Expensive,SoHo,9:00 - 20:00,4,True
474,gtrengroused5,Korean,Expensive,Park Slope,9:00 - 20:00,5,True
475,rleemand6,Indian,Cheap,Kingsbridge,9:00 - 20:00,5,False
476,dburnhardd7,Italian,Medium,Greenpoint,9:00 - 20:00,4,True
477,ctunyd8,Thai,Expensive,Grasmere,9:00 - 20:00,5,False
478,dwaddinghamd9,Fast Food,Expensive,Rego Park,9:00 - 20:00,1,False
479,cmacronaldda,Chinese,Medium,Greenwich Village,9:00 - 20:00,5,False
480,triddiforddb,Indian,Cheap,Tottenville,9:00 - 20:00,1,False
481,awateridgedc,Italian,Cheap,Tottenville,9:00 - 20:00,5,False
482,bsharpousdd,Mexican,Expensive,Forest Hills,9:00 - 20:00,3,True
483,awhightmande,French,Expensive,Chelsea,9:00 - 20:00,1,False
484,kkubicekdf,Indian,Cheap,Washington Heights,9:00 - 20:00,1,False
485,ptreedg,Chinese,Expensive,Fordham,9:00 - 20:00,5,True
486,jtompkinsdh,Italian,Medium,Great Kills,9:00 - 20:00,5,True
487,pfinlrydi,Chinese,Cheap,SoHo,9:00 - 20:00,1,True
488,shausedj,Pizza,Medium,Rosebank,9:00 - 20:00,5,True
489,nmccawdk,French,Medium,Upper East Side,9:00 - 20:00,2,True
490,prippindl,Korean,Cheap,Great Kills,9:00 - 20:00,4,True
491,pkerleydm,Chinese,Medium,Fordham,9:00 - 20:00,3,True
492,lbroomedn,Italian,Cheap,Hunts Point,9:00 - 20:00,5,True
493,blinsteaddo,Pizza,Expensive,Westerleigh,9:00 - 20:00,3,True
494,bkehirdp,Pizza,Expensive,Westerleigh,9:00 - 20:00,2,True
495,lzanetellodq,Korean,Cheap,Sunnyside,9:00 - 20:00,5,True
496,lbizzeydr,French,Medium,Westerleigh,9:00 - 20:00,5,True
497,jisakovicds,Italian,Cheap,Morris Park,9:00 - 20:00,5,False
498,dmealiffedt,American,Expensive,Harlem,9:00 - 20:00,2,False
499,cgerholddu,Burger,Medium,Fordham,9:00 - 20:00,1,True
500,dbrandonidv,French,Expensive,Tribeca,9:00 - 20:00,2,True
501,atraisedw,Burger,Medium,New Brighton,9:00 - 20:00,2,False
502,glinddx,Italian,Expensive,Crown Heights,9:00 - 20:00,1,True
503,gmonandy,Japanese,Expensive,Upper West Side,9:00 - 20:00,1,False
504,dfairlambdz,Fast Food,Cheap,Chelsea,9:00 - 20:00,2,True
505,rewene0,Korean,Cheap,Tribeca,9:00 - 20:00,4,True
506,kstuckleye1,Pizza,Expensive,Kingsbridge,9:00 - 20:00,3,False
507,mspradbrowe2,Chinese,Cheap,Woodside,9:00 - 20:00,2,True
508,gjayse3,Chinese,Cheap,Park Slope,9:00 - 20:00,3,True
509,cmizene4,Fast Food,Medium,Sunnyside,9:00 - 20:00,1,True
510,koppiee5,Burger,Medium,Greenpoint,9:00 - 20:00,1,True
511,jpaseke6,Indian,Cheap,Park Slope,9:00 - 20:00,2,True
512,mfranklene7,Mexican,Medium,Tompkinsville,9:00 - 20:00,3,False
513,emuriele8,Burger,Cheap,Westerleigh,9:00 - 20:00,5,True
514,rsprucee9,Japanese,Cheap,Park Slope,9:00 - 20:00,2,False
515,jjaxonea,French,Expensive,Great Kills,9:00 - 20:00,3,False
516,abissatteb,Japanese,Cheap,Greenwich Village,9:00 - 20:00,5,False
517,jriccardelliec,Indian,Expensive,Grasmere,9:00 - 20:00,1,True
518,zrisebrowed,Fast Food,Cheap,Fordham,9:00 - 20:00,4,True
519,drosleee,Thai,Expensive,Astoria,9:00 - 20:00,2,False
520,pezzellef,Pizza,Medium,Woodside,9:00 - 20:00,5,True
521,abelkeg,Thai,Cheap,Morris Park,9:00 - 20:00,3,False
522,nwinnetteh,Thai,Medium,Bayside,9:00 - 20:00,2,False
523,rbuntenei,Burger,Cheap,Red Hook,9:00 - 20:00,5,True
524,lpfertnerej,Mexican,Medium,Brooklyn Heights,9:00 - 20:00,5,False
525,abarlasek,Italian,Cheap,Red Hook,9:00 - 20:00,1,False
526,jmcgraghel,Chinese,Expensive,Sunnyside,9:00 - 20:00,2,True
527,dspaldingem,Mexican,Medium,Woodside,9:00 - 20:00,2,True
528,ghoutenen,Chinese,Cheap,Jamaica,9:00 - 20:00,5,True
529,rbeharrelleo,American,Expensive,Belmont,9:00 - 20:00,1,False
530,amerkelep,Mexican,Expensive,Greenwich Village,9:00 - 20:00,2,False
531,umurcutteq,Burger,Medium,Rego Park,9:00 - 20:00,4,False
532,dgerbeler,Japanese,Expensive,Hunts Point,9:00 - 20:00,5,True
533,fbeaverses,French,Expensive,Woodside,9:00 - 20:00,5,False
534,lmullineret,Indian,Expensive,Greenpoint,9:00 - 20:00,1,True
535,sdomoneeu,Fast Food,Expensive,Rego Park,9:00 - 20:00,2,True
536,htareeev,Italian,Medium,Chelsea,9:00 - 20:00,2,True
537,tbursnellew,Burger,Cheap,Bedford-Stuyvesant,9:00 - 20:00,5,False
538,ydoeex,Thai,Cheap,Long Island City,9:00 - 20:00,2,False
539,jwendeney,Indian,Cheap,Greenpoint,9:00 - 20:00,3,True
540,sgatheralez,Burger,Medium,Upper West Side,9:00 - 20:00,3,False
541,fredmoref0,Burger,Medium,Soundview,9:00 - 20:00,1,True
542,xlowrief1,Indian,Cheap,Brooklyn Heights,9:00 - 20:00,5,True
543,dtraysf2,Italian,Medium,Washington Heights,9:00 - 20:00,2,True
544,icoplestonef3,French,Cheap,Upper East Side,9:00 - 20:00,5,False
545,fcuddef4,Mexican,Medium,Tottenville,9:00 - 20:00,4,False
546,etrenbeyf5,Mexican,Medium,Jackson Heights,9:00 - 20:00,3,False
547,rjoshamf6,Fast Food,Cheap,Throgs Neck,9:00 - 20:00,3,True
548,wirelandf7,Indian,Expensive,Jackson Heights,9:00 - 20:00,3,True
549,rhalsef8,Burger,Expensive,Harlem,9:00 - 20:00,5,False
550,bprosserf9,Indian,Medium,Upper East Side,9:00 - 20:00,2,True
551,fogerfa,American,Medium,Prospect Heights,9:00 - 20:00,1,False
552,eingrefb,Pizza,Medium,Soundview,9:00 - 20:00,5,False
553,htwinbrowfc,Indian,Cheap,Greenwich Village,9:00 - 20:00,2,True
554,ycourtoisfd,Mexican,Expensive,Astoria,9:00 - 20:00,5,True
555,elochfe,French,Cheap,Upper East Side,9:00 - 20:00,1,False
556,mbansteadff,Italian,Cheap,Harlem,9:00 - 20:00,4,False
557,bsummersonfg,Indian,Cheap,DUMBO,9:00 - 20:00,3,True
558,bsorrillfh,Italian,Cheap,Tottenville,9:00 - 20:00,2,True
559,leyreefi,French,Expensive,Pelham Bay,9:00 - 20:00,5,True
560,dfulcherfj,French,Medium,Mott Haven,9:00 - 20:00,4,False
561,calmakfk,Indian,Cheap,Greenpoint,9:00 - 20:00,5,True
562,cdahmkefl,Italian,Medium,Chelsea,9:00 - 20:00,5,True
563,asheringtonfm,Indian,Cheap,Stapleton,9:00 - 20:00,3,False
564,sbrimfn,American,Medium,Westerleigh,9:00 - 20:00,1,True
565,kmattessenfo,Japanese,Expensive,Bedford-Stuyvesant,9:00 - 20:00,2,False
566,kbaserfp,American,Medium,Great Kills,9:00 - 20:00,2,False
567,cdorneyfq,Thai,Medium,Prospect Heights,9:00 - 20:00,1,False
568,podbyfr,French,Cheap,Mott Haven,9:00 - 20:00,3,True
569,pmcrobbiefs,Pizza,Medium,Washington Heights,9:00 - 20:00,3,False
570,rchurchmanft,Burger,Medium,Jackson Heights,9:00 - 20:00,4,False
571,dtatlowfu,Japanese,Medium,Stapleton,9:00 - 20:00,3,False
572,amcchruiterfv,Indian,Medium,Morris Park,9:00 - 20:00,3,False
573,bowtramfw,Korean,Medium,Riverdale,9:00 - 20:00,2,True
574,mlauksfx,Italian,Expensive,Forest Hills,9:00 - 20:00,3,True
575,cburnardfy,Indian,Medium,Rosebank,9:00 - 20:00,3,False
576,aknibbfz,Indian,Medium,Mott Haven,9:00 - 20:00,5,True
577,lsimonetong0,Korean,Expensive,Washington Heights,9:00 - 20:00,1,True
578,eallnattg1,Mexican,Medium,Washington Heights,9:00 - 20:00,4,True
579,wmucklestoneg2,French,Cheap,Lower East Side,9:00 - 20:00,3,True
580,bsellarsg3,Korean,Cheap,Greenwich Village,9:00 - 20:00,2,True
581,nhousemang4,Chinese,Cheap,Tottenville,9:00 - 20:00,4,False
582,acattelliong5,Burger,Expensive,Annadale,9:00 - 20:00,1,False
583,hdickong6,Korean,Cheap,Washington Heights,9:00 - 20:00,1,False
584,kcrowdeng7,Chinese,Medium,Belmont,9:00 - 20:00,2,False
585,amayzeg8,Pizza,Cheap,Midtown,9:00 - 20:00,5,False
586,mchickg9,Chinese,Expensive,Jackson Heights,9:00 - 20:00,1,False
587,tjupega,Italian,Expensive,Annadale,9:00 - 20:00,5,True
588,rirvinegb,American,Medium,DUMBO,9:00 - 20:00,4,True
589,gfevergc,Korean,Expensive,Tribeca,9:00 - 20:00,1,False
590,tventuroligd,Pizza,Expensive,Soundview,9:00 - 20:00,1,False
591,emaccrackenge,Italian,Cheap,Grasmere,9:00 - 20:00,5,True
592,dmanneringgf,Thai,Cheap,Prospect Heights,9:00 - 20:00,4,False
593,fdystergg,Italian,Cheap,Astoria,9:00 - 20:00,1,False
594,pridgersgh,Fast Food,Medium,Greenwich Village,9:00 - 20:00,3,False
595,gverricogi,Thai,Expensive,Riverdale,9:00 - 20:00,2,True
596,bwaddamsgj,Indian,Cheap,Mott Haven,9:00 - 20:00,1,False
597,dcasolgk,Pizza,Expensive,Throgs Neck,9:00 - 20:00,2,False
598,cowbridgegl,Chinese,Medium,Long Island City,9:00 - 20:00,5,False
599,wrickardssongm,Japanese,Medium,Stapleton,9:00 - 20:00,4,False
600,cmethleygn,Mexican,Expensive,Hunts Point,9:00 - 20:00,3,True
601,kpaddygo,Indian,Expensive,Lower East Side,9:00 - 20:00,1,False
602,tsidesgp,French,Cheap,Soundview,9:00 - 20:00,2,True
603,lrushmangq,Pizza,Cheap,Bayside,9:00 - 20:00,1,True
604,apilmergr,Indian,Cheap,Tottenville,9:00 - 20:00,2,True
605,jbaldazzigs,Burger,Cheap,Belmont,9:00 - 20:00,2,False
606,bchealesgt,Thai,Expensive,Brooklyn Heights,9:00 - 20:00,1,False
607,mkemmishgu,Indian,Cheap,Astoria,9:00 - 20:00,4,False
608,gdovergv,Italian,Expensive,Woodside,9:00 - 20:00,5,False
609,lbundeygw,Thai,Cheap,Grasmere,9:00 - 20:00,2,False
610,deckartgx,Italian,Expensive,Long Island City,9:00 - 20:00,5,False
611,mdenningtongy,Japanese,Expensive,Upper East Side,9:00 - 20:00,5,False
612,kproschgz,Korean,Medium,Rosebank,9:00 - 20:00,1,False
613,ktilth0,Japanese,Cheap,Morris Park,9:00 - 20:00,5,False
614,gjuszczykh1,Indian,Medium,Tottenville,9:00 - 20:00,4,True
615,gromainh2,Thai,Expensive,Flushing,9:00 - 20:00,4,True
616,rwoolfendenh3,Thai,Expensive,Chelsea,9:00 - 20:00,2,True
617,mwooffh4,Mexican,Cheap,Grasmere,9:00 - 20:00,2,False
618,elathyh5,Burger,Expensive,Upper East Side,9:00 - 20:00,5,False
619,tbowneh6,Italian,Medium,Throgs Neck,9:00 - 20:00,4,False
620,wdymondh7,Italian,Medium,Hunts Point,9:00 - 20:00,2,False
621,htrimmeh8,Japanese,Cheap,Grasmere,9:00 - 20:00,3,True
622,amoncrieffeh9,Burger,Cheap,DUMBO,9:00 - 20:00,5,True
623,screwha,Pizza,Expensive,Prospect Heights,9:00 - 20:00,2,False
624,kcakehb,Japanese,Medium,Mott Haven,9:00 - 20:00,2,False
625,mpyotthc,Pizza,Expensive,Jamaica,9:00 - 20:00,2,False
626,lfirbankshd,Fast Food,Expensive,Chelsea,9:00 - 20:00,4,True
627,bstaffordhe,Mexican,Cheap,Belmont,9:00 - 20:00,5,False
628,sbartshf,Fast Food,Cheap,Bushwick,9:00 - 20:00,3,False
629,emongainhg,Mexican,Cheap,Prospect Heights,9:00 - 20:00,4,False
630,rizakovitzhh,Italian,Medium,Bedford-Stuyvesant,9:00 - 20:00,5,True
631,raddionisiohi,Italian,Cheap,Harlem,9:00 - 20:00,4,True
632,wvannozziihj,Mexican,Cheap,SoHo,9:00 - 20:00,3,True
633,vsteansonhk,Italian,Medium,Westerleigh,9:00 - 20:00,2,True
634,jsautterhl,Chinese,Cheap,DUMBO,9:00 - 20:00,1,True
635,klettingtonhm,Chinese,Expensive,Fordham,9:00 - 20:00,2,True
636,llenhamhn,Chinese,Cheap,Great Kills,9:00 - 20:00,2,True
637,uchildesho,Italian,Medium,Soundview,9:00 - 20:00,3,False
638,gkeywoodhp,Fast Food,Medium,Rego Park,9:00 - 20:00,5,False
639,gmacnellyhq,Italian,Medium,Belmont,9:00 - 20:00,5,False
640,lgosslinghr,Fast Food,Expensive,Greenpoint,9:00 - 20:00,3,False
641,mthornshs,Thai,Cheap,Tottenville,9:00 - 20:00,4,True
642,vschwartzht,American,Cheap,Soundview,9:00 - 20:00,2,True
643,tlangtryhu,Italian,Medium,Hunts Point,9:00 - 20:00,3,False
644,wlafontainehv,Italian,Cheap,Sunnyside,9:00 - 20:00,2,False
645,bgullamhw,Burger,Expensive,SoHo,9:00 - 20:00,1,True
646,dinfantinohx,Korean,Cheap,Long Island City,9:00 - 20:00,5,True
647,svannhy,Korean,Expensive,Flushing,9:00 - 20:00,3,True
648,elesaunierhz,Pizza,Expensive,Pelham Bay,9:00 - 20:00,2,False
649,kbouldstridgei0,Japanese,Expensive,Tribeca,9:00 - 20:00,2,False
650,wdinsalei1,Pizza,Medium,Brooklyn Heights,9:00 - 20:00,3,True
651,mpeppardi2,Thai,Medium,Bushwick,9:00 - 20:00,1,True
652,jschermicki3,French,Expensive,Washington Heights,9:00 - 20:00,4,False
653,sprenei4,American,Cheap,Flushing,9:00 - 20:00,3,False
654,ewickmani5,Burger,Cheap,Fordham,9:00 - 20:00,2,False
655,clabbeyi6,American,Medium,Bayside,9:00 - 20:00,3,False
656,kransomi7,American,Medium,Rosebank,9:00 - 20:00,5,False
657,tshephardi8,Pizza,Expensive,Long Island City,9:00 - 20:00,4,True
658,amaffii9,Japanese,Cheap,Crown Heights,9:00 - 20:00,5,True
659,sumneyia,Mexican,Medium,DUMBO,9:00 - 20:00,4,False
660,adulantyib,Pizza,Medium,Tompkinsville,9:00 - 20:00,4,False
661,pbissekeric,Fast Food,Medium,Harlem,9:00 - 20:00,3,True
662,aandrioniid,Thai,Cheap,Greenpoint,9:00 - 20:00,1,True
663,tpawelie,Thai,Cheap,Stapleton,9:00 - 20:00,5,True
664,hlevayif,Korean,Medium,Upper West Side,9:00 - 20:00,5,False
665,ltumultyig,Mexican,Cheap,Belmont,9:00 - 20:00,2,True
666,fgillibrandih,Burger,Medium,Westerleigh,9:00 - 20:00,1,True
667,cburgerii,Japanese,Cheap,Rosebank,9:00 - 20:00,3,False
668,bpresleyij,Japanese,Medium,Hunts Point,9:00 - 20:00,2,True
669,rsperringik,Italian,Expensive,Crown Heights,9:00 - 20:00,3,False
670,hpiolliil,Italian,Medium,DUMBO,9:00 - 20:00,4,False
671,sedginim,Thai,Cheap,Rego Park,9:00 - 20:00,3,True
672,jgebbin,Japanese,Medium,Great Kills,9:00 - 20:00,3,False
673,irantoulio,French,Cheap,Crown Heights,9:00 - 20:00,4,True
674,llusherip,Indian,Medium,Morris Park,9:00 - 20:00,5,True
675,eleonardeiq,French,Medium,Upper West Side,9:00 - 20:00,1,True
676,jblackstoneir,Thai,Expensive,Rego Park,9:00 - 20:00,3,True
677,bdegiorgiois,Japanese,Expensive,Harlem,9:00 - 20:00,2,False
678,doniansit,Mexican,Medium,Brooklyn Heights,9:00 - 20:00,5,False
679,tlarretiu,Thai,Cheap,Greenwich Village,9:00 - 20:00,5,False
680,tcettelliv,French,Expensive,Fordham,9:00 - 20:00,5,False
681,tslimmingiw,Mexican,Expensive,Annadale,9:00 - 20:00,1,True
682,kribbensix,Italian,Medium,Grasmere,9:00 - 20:00,3,False
683,pfloatiy,Japanese,Medium,Stapleton,9:00 - 20:00,1,False
684,ehoofeiz,Fast Food,Expensive,Crown Heights,9:00 - 20:00,2,True
685,cveitchj0,French,Medium,Rosebank,9:00 - 20:00,2,False
686,ggrassickj1,American,Medium,Harlem,9:00 - 20:00,1,False
687,mperfilij2,Burger,Expensive,Tottenville,9:00 - 20:00,4,True
688,wgurleyj3,Mexican,Cheap,Flushing,9:00 - 20:00,1,False
689,ddowderswellj4,Mexican,Expensive,Upper East Side,9:00 - 20:00,3,False
690,keaddyj5,Chinese,Cheap,Grasmere,9:00 - 20:00,3,False
691,dbussenj6,Mexican,Expensive,Hunts Point,9:00 - 20:00,4,False
692,hwilseej7,Chinese,Expensive,Sunnyside,9:00 - 20:00,5,False
693,eoleszczakj8,Indian,Medium,Washington Heights,9:00 - 20:00,4,False
694,krawdallj9,Thai,Expensive,Upper West Side,9:00 - 20:00,3,False
695,bmcdougleja,American,Expensive,Rego Park,9:00 - 20:00,5,False
696,aflavellejb,Pizza,Medium,Riverdale,9:00 - 20:00,3,True
697,valgorejc,Chinese,Cheap,Washington Heights,9:00 - 20:00,3,True
698,aaxupjd,Fast Food,Medium,Rosebank,9:00 - 20:00,3,False
699,amccowanje,Burger,Expensive,Crown Heights,9:00 - 20:00,2,True
700,pgallandersjf,American,Cheap,Soundview,9:00 - 20:00,1,False
701,vcameratijg,Mexican,Cheap,Lower East Side,9:00 - 20:00,5,True
702,elinehamjh,Indian,Expensive,DUMBO,9:00 - 20:00,2,False
703,fdenerji,French,Cheap,Rego Park,9:00 - 20:00,5,False
704,rnailjj,Mexican,Expensive,Pelham Bay,9:00 - 20:00,4,False
705,lschneidaujk,French,Medium,Throgs Neck,9:00 - 20:00,2,True
706,jgoreisrjl,Indian,Expensive,SoHo,9:00 - 20:00,2,False
707,dpetraccojm,Italian,Medium,Riverdale,9:00 - 20:00,1,False
708,emessumjn,Japanese,Medium,Morris Park,9:00 - 20:00,3,True
709,rdoerrlingjo,American,Expensive,Stapleton,9:00 - 20:00,3,True
710,ctuckwoodjp,Japanese,Expensive,Bayside,9:00 - 20:00,5,False
711,lrivelesjq,Chinese,Expensive,Brooklyn Heights,9:00 - 20:00,5,False
712,crathbonejr,American,Cheap,Stapleton,9:00 - 20:00,4,False
713,kpietronjs,American,Cheap,Midtown,9:00 - 20:00,3,False
714,mtregustjt,French,Expensive,DUMBO,9:00 - 20:00,2,True
715,apudgeju,Thai,Medium,Fordham,9:00 - 20:00,2,False
716,mtuckleyjv,Chinese,Medium,Great Kills,9:00 - 20:00,3,False
717,kteggartjw,American,Cheap,Greenwich Village,9:00 - 20:00,4,True
718,cguisejx,Italian,Expensive,Harlem,9:00 - 20:00,1,False
719,grodiejy,Pizza,Cheap,Belmont,9:00 - 20:00,3,False
720,mstanworthjz,Korean,Cheap,Rego Park,9:00 - 20:00,3,True
721,hrivalantk0,Korean,Expensive,Tompkinsville,9:00 - 20:00,4,False
722,rcantosk1,Japanese,Expensive,Chelsea,9:00 - 20:00,5,False
723,gepiletk2,Indian,Cheap,Morris Park,9:00 - 20:00,1,False
724,amitrovick3,French,Medium,Jackson Heights,9:00 - 20:00,3,True
725,iclearleyk4,Mexican,Medium,Soundview,9:00 - 20:00,4,False
